File Name,Ediast (mV),Peak (mV),APA (mV),dV/dt max y (V/s),Negative dV/dt max y (V/s),SD1,SD2,SD1_SD2 Ratio,APD 20 (ms),APD 50 (ms),APD 80 (ms),APD 90 (ms),Folder,Condition 1,Condition 2,Condition 3,Condition 4
18716052,-85.6429940179058,50.3899964802993,136.032990498205,368.199974281532,-23.1499983829915,0.0306412938514168,0.826611111111111,0.0370685724393778,2.03,11.18,31.53,41.3,RN_CTR_2744_7.1Hz,RN,CTR,2744,7.1Hz
18716056,-70.0579951065055,57.2449960014831,127.302991107989,234.149983644811,-33.5999976530671,0.0659966329107444,2.07477777777778,0.0318090128097627,2.37,23.68,86.9,103.77,RN_CTR_2744_7.1Hz,RN,CTR,2744,7.1Hz
18711000,-71.6374949961787,59.7049958296541,131.342490825833,143.849989952196,-54.7999961722654,0.0377123616632827,0.579666666666667,0.0650587032719081,0.599999999999999,6.76,20.81,28.96,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18711005,-70.6834950628148,54.3749962019503,125.058491264765,284.249980145374,-23.9999983236194,0.0494974746830583,0.566611111111111,0.0873570491513922,1.23000000000001,6.67,17.69,28.34,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18711019,-75.9404946956176,49.0299965752942,124.970491270912,329.649976974211,-31.7083311185317,0.051854497287013,0.666333333333333,0.0778206562586489,0.909999999999995,4.62,20.21,33.32,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18711023,-73.3659948754443,62.2299956532849,135.595990528729,201.249985942853,-82.3999942444256,0.0494974746830581,0.388055555555555,0.12755254750108,0.479999999999999,1.18,9.9,19.35,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18711027,-77.8189945644059,50.7199964572491,128.538991021655,378.89997353415,-38.4499973142985,0.0494974746830579,0.699166666666667,0.0707949578303569,0.849999999999998,6.07,23.96,34.97,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18711031,-68.7799951957727,53.1449962878648,121.924991483638,344.599975929952,-27.199998100102,0.0377123616632827,0.805444444444444,0.0468218036928604,1.09,6.12,28.9,40.24,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18712004,-75.9079946978877,55.2949961376891,131.202990835577,360.549974815882,-20.8499985436449,0.0683536555146987,0.859166666666667,0.0795580859530926,3.29,14.93,32.96,43,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18712008,-74.3674948054904,66.5099953543304,140.877490159821,367.949974298995,-44.0999969196498,0.0919238815542511,0.772166666666667,0.119046684507988,1.45,12.04,30.09,38.62,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
