"Time (ms)","Sweep 19. Voltage (mV)","Sweep 20. Voltage (mV)","Sweep 21. Voltage (mV)","Sweep 22. Voltage (mV)","Sweep 23. Voltage (mV)"
590.5,-64.6972625520449,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.39208678529
591,-64.39208678529,-64.39208678529,-64.6972625520449,-64.6972625520449,-64.0869110185351
591.5,-64.39208678529,-64.39208678529,-64.6972625520449,-64.6972625520449,-64.0869110185351
592,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.39208678529
592.5,-64.39208678529,-64.39208678529,-64.6972625520449,-64.6972625520449,-64.0869110185351
593,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
593.5,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
594,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
594.5,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
595,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.39208678529,-64.0869110185351
595.5,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
596,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
596.5,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
597,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
597.5,-64.39208678529,-64.39208678529,-64.6972625520449,-64.6972625520449,-64.0869110185351
598,-64.39208678529,-64.39208678529,-64.6972625520449,-64.6972625520449,-64.0869110185351
598.5,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
599,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
599.5,-64.39208678529,-64.39208678529,-64.6972625520449,-64.6972625520449,-64.0869110185351
600,-64.39208678529,-64.39208678529,-64.6972625520449,-65.0024383187999,-64.39208678529
600.5,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449,-64.39208678529
601,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449,-64.0869110185351
601.5,-64.6972625520449,-64.39208678529,-65.0024383187999,-64.6972625520449,-64.39208678529
602,-64.6972625520449,-64.39208678529,-65.0024383187999,-65.0024383187999,-64.39208678529
602.5,-64.6972625520449,-64.39208678529,-65.0024383187999,-64.6972625520449,-64.39208678529
603,-64.6972625520449,-64.39208678529,-65.0024383187999,-65.0024383187999,-64.39208678529
603.5,-64.6972625520449,-64.39208678529,-65.0024383187999,-65.0024383187999,-64.39208678529
604,-64.6972625520449,-64.6972625520449,-65.0024383187999,-64.6972625520449,-64.0869110185351
604.5,-64.39208678529,-64.39208678529,-64.6972625520449,-64.6972625520449,-64.0869110185351
605,-64.39208678529,-64.39208678529,-64.6972625520449,-64.6972625520449,-64.39208678529
605.5,-64.6972625520449,-64.39208678529,-65.0024383187999,-64.6972625520449,-64.0869110185351
606,-64.6972625520449,-64.39208678529,-65.0024383187999,-64.6972625520449,-64.0869110185351
606.5,-64.6972625520449,-64.39208678529,-65.0024383187999,-65.0024383187999,-64.0869110185351
607,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449,-64.39208678529
607.5,-64.39208678529,-64.39208678529,-64.6972625520449,-64.6972625520449,-64.39208678529
608,-64.6972625520449,-64.39208678529,-65.0024383187999,-64.6972625520449,-64.39208678529
608.5,-64.39208678529,-64.39208678529,-65.0024383187999,-65.0024383187999,-64.39208678529
609,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449,-64.39208678529
609.5,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.39208678529
610,-64.6972625520449,-64.39208678529,-65.0024383187999,-64.6972625520449,-64.0869110185351
610.5,-64.6972625520449,-64.39208678529,-65.0024383187999,-64.6972625520449,-64.0869110185351
611,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
611.5,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
612,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
612.5,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
613,-64.39208678529,-64.0869110185351,-64.39208678529,-64.6972625520449,-64.0869110185351
613.5,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
614,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
614.5,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
615,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
615.5,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
616,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
616.5,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.39208678529,-64.0869110185351
617,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.39208678529
617.5,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.39208678529
618,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
618.5,-64.39208678529,-64.39208678529,-64.39208678529,-64.6972625520449,-64.0869110185351
619,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.0869110185351
619.5,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.39208678529
620,-64.39208678529,-64.39208678529,-64.6972625520449,-65.0024383187999,-64.39208678529
620.5,-64.39208678529,-64.39208678529,-64.6972625520449,-64.6972625520449,-64.0869110185351
621,-64.6972625520449,-64.39208678529,-64.6972625520449,-65.0024383187999,-64.39208678529
621.5,-64.39208678529,-64.39208678529,-65.0024383187999,-65.0024383187999,-64.39208678529
622,-64.39208678529,-64.39208678529,-64.6972625520449,-65.0024383187999,-64.39208678529
622.5,-64.6972625520449,-64.39208678529,-64.6972625520449,-65.0024383187999,-64.39208678529
623,-64.6972625520449,-64.39208678529,-65.0024383187999,-65.0024383187999,-64.39208678529
623.5,-64.6972625520449,-64.39208678529,-65.0024383187999,-65.0024383187999,-64.39208678529
624,-64.6972625520449,-64.39208678529,-64.6972625520449,-64.6972625520449,-64.39208678529
624.5,-64.6972625520449,-64.0869110185351,-64.6972625520449,-65.0024383187999,-64.39208678529
