"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","Parameter","Operator","Value"
"146","18711044","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","APD 90 (ms)","Value",0.890770070999454
"147","18711052","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","APD 90 (ms)","Value",1.10820559062218
"148","18716029","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","APD 90 (ms)","Value",0.842893430099312
"149","18716033","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","APD 90 (ms)","Value",0.850104821802935
"150","18711072","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","APD 90 (ms)","Value",0.889055472263868
"151","18703049","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","APD 90 (ms)","Value",1.20821931589537
"152","18704043","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","APD 90 (ms)","Value",0.850222954633579
"153","18703057","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","APD 90 (ms)","Value",0.84456590370955
"154","18704028","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","APD 90 (ms)","Value",6.2129793977813
"155","18704029","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","APD 90 (ms)","Value",5.35568820224719
"156","18710044","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","APD 90 (ms)","Value",0.853211009174312
