"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","SD1","SD2","SD1_SD2 Ratio","APD 20 (ms)","APD 50 (ms)","APD 90 (ms)","Folder","Condition 1","Condition 2","Condition 3","Condition 4"
"18711050",-70.7619950573316,68.3499952258079,139.11199028314,290.799979687856,-79.3999944539741,0.0966379267621615,1.47427777777778,0.0655493342020163,0.460000000000001,3.04,21.3,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18711054",-65.5409954220142,55.5899961170835,121.130991539098,224.399984325845,-69.7999951245258,0.23334523779156,2.08638888888889,0.111841679676423,0.480000000000001,3.48,31.22,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18711058",-72.3209949484367,48.809996590661,121.130991539098,297.799979198911,-19.2999986519106,0.162634559672905,2.15816666666667,0.0753577386699693,1.7,7.9,32.1,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18711071",-72.7739949167951,57.8699959578274,130.643990874622,340.7999761954,-40.9999971361832,0.14142135623731,1.71644444444444,0.0823920382014365,0.8,5.22,26.14,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18712049",-72.1059949634543,48.4999966123143,120.605991575769,300.499979010318,-23.0999983864839,0.0824957911384309,1.38505555555556,0.0595613589704286,1.2,5.56,21.28,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18712053",-76.4679946587722,56.5799960479328,133.047990706705,333.899976677357,-41.0999971291985,0.14613540144522,1.61011111111111,0.0907610663865146,0.899999999999999,6.7,23.98,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18712057",-72.5849324300009,55.8499960989228,128.434928528924,353.999975273389,-23.399998365529,0.20977501175201,2.02872222222222,0.103402530644253,2.84,12.46,31.14,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18712061",-71.9999949708583,59.849995819526,131.849990790384,361.299974763489,-30.5999978626149,0.254558441227157,2.95,0.0862909970261548,2.52,14.8,44.28,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18712066",-75.2149947462932,58.569995908933,133.784990655226,349.799975566755,-27.5999980721624,0.238059282999471,2.52594444444444,0.0942456527589344,2.02,13.7,39.78,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18712072",-75.4569947293897,52.7499963154552,128.206991044845,309.399978388661,-34.9999975552785,0.0683536555146997,1.05705555555556,0.0646642034616384,0.86,3.88,15.78,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18713033",-80.9289943471749,59.4199958495611,140.348990196736,310.499978311828,-59.2999958579433,0.240416305603427,2.49755555555556,0.0962606437597137,0.6,9.16,39.34,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18713038",-76.6959946428465,56.9499960220886,133.645990664935,332.999976740217,-38.2999973247763,0.228631192583651,2.14127777777778,0.106773252380607,1.02,7.28,32.28,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18713044",-74.019994829763,58.4999959138224,132.519990743585,292.299979583082,-42.8999970034695,0.426621091315884,3.16805555555556,0.134663387000191,1.14,9.58,47.58,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18716029",-84.098994125753,66.0199953885565,150.118989514309,313.799978081323,-72.499994935934,0.38419468444469,3.38394444444444,0.113534572080649,0.519999999999999,7.24,52.36,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18716033",-84.3719941066842,55.9499960919378,140.321990198622,370.59997411389,-59.5999958369879,0.0966379267621615,1.27105555555556,0.0760296639590414,0.6,3.14,19.08,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18716037",-84.3369941091289,55.5899961170835,139.926990226212,401.999971920631,-31.5999977927654,0.313484006326036,2.71383333333333,0.115513359820439,1.9,11.06,40.82,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18716042",-85.1529940521319,60.3199957866969,145.472989838829,250.899982474841,-50.9999964376914,0.334697209761632,2.19755555555556,0.152304322371053,1,9.9,32.16,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18716046",-82.9369942069177,46.4399967562036,129.376990963121,357.899975000973,-22.4999984283931,0.306412938514171,2.17288888888889,0.14101638610286,1.6,8.56,34.82,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18716051",-84.9689940649842,54.8099961715659,139.77899023655,360.59997481238,-30.2999978835696,0.245130350811337,2.54322222222222,0.096385738009613,1.64,10.52,38.08,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18716055",-80.670994365196,67.4699952872752,148.140989652471,337.099976453839,-54.2999962071887,0.912167747730645,4.8275,0.188952407608627,1.64,15.46,72.06,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18711043",-70.1029951033622,44.4999968917111,114.602991995073,238.499983340968,-25.6666648738708,0.113137084989847,1.94244444444444,0.058244695395757,1.16,5.84,30.56,"RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz"
"18711047",-71.0779950352593,59.6999958300034,130.777990865263,300.899978982377,-43.0999969894997,0.1367073110294,2.12555555555556,0.0643160375987767,1,9.08,32.16,"RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz"
"18711051",-71.6029949985885,66.2199953745866,137.822990373175,283.999980162831,-74.3999948032205,0.106066017177982,1.45272222222222,0.0730119052049286,0.46,3.3,21.72,"RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz"
"18711055",-74.1819948184474,46.7699967331534,120.951991551601,297.099979247804,-31.4999977997509,0.164991582276861,1.80377777777778,0.0914700160460606,0.92,4.56,26.96,"RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz"
"18711059",-73.2699948821499,48.119996638857,121.389991521007,327.099977152334,-22.1999984493479,0.124922198009624,2.07616666666667,0.0601696386014084,1.72,8.06,31.74,"RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz"
"18711072",-73.1499948905318,58.7599958956616,131.909990786193,320.59997760635,-46.0999967799526,0.150849446653129,1.57544444444444,0.0957504069312478,0.72,5.3,26.68,"RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz"
"18712050",-71.4499950092754,46.1899967736659,117.639991782941,11.199999217689,-30.999997834675,0.0966379267621614,1.31661111111111,0.0733989907472427,1,4.52,20.22,"RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz"
"18712054",-76.4279946615661,55.9399960926363,132.367990754202,314.199978053383,-43.4999969615605,0.127279220613579,1.63166666666667,0.0780056510399869,0.840000000000001,6.68,24.64,"RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz"
"18712063",-72.912994907086,63.5799955589885,136.492990466075,261.299981748409,-52.0999963608569,0.233345237791561,2.95616666666667,0.0789350750831239,1.76,14.18,43.32,"RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz"
"18712067",-76.6799946439641,61.7799956847171,138.459990328681,319.499977683182,-48.8999965843744,0.150849446653131,2.49655555555556,0.0604230281667264,1.18,11.1,35.68,"RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz"
"18712073",-75.2589947432198,55.539996120576,130.798990863796,265.599981448055,-53.7999962421137,0.0659966329107452,1.07244444444444,0.0615385097592941,0.619999999999999,3.5,15.9,"RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz"
"18713034",-80.9849943432634,51.9999963678421,132.984990711105,325.799977243132,-43.2999969755298,0.280485689870664,2.72805555555555,0.102815241170389,0.98,10.58,43.64,"RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz"
"18713039",-77.9959945520426,55.3899961310534,133.385990683096,345.299975881076,-45.699996807892,0.214489056959919,2.24427777777778,0.0955715282144354,0.88,7.62,34.4,"RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz"
"18713045",-72.9069949075051,51.3399964139426,124.246991321448,265.099981482978,-34.0999976181424,0.367695526217006,3.33233333333333,0.11034176039322,1.68,12.34,51.26,"RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz"
"18716030",-84.4549941008867,62.2499956518879,146.704989752775,293.999979464337,-70.899995047692,0.273414622058798,3.112,0.0878581690420304,0.539999999999999,6.82,48.64,"RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz"
