"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","variable","value"
"18711032","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-72.3429949469001
"18712005","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-76.3869946644299
"18712011","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-78.9879944827522
"18712018","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-74.9839947624284
"18712022","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-71.1559950298111
"18712027","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-74.6919947828243
"18712033","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-75.8309947032661
"18712037","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-72.0079949702995
"18712041","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-74.7079947817067
"18713001","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-76.6969946427767
"18713005","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-72.9249949062478
"18713009","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-77.6819945739752
"18713013","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-76.0999946844767
"18713018","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-79.2329944656392
"18713022","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-77.6959945729973
"18713026","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-83.1889941893157
"18716002","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-81.7309942911559
