Exp,Cell,Cm,Rs,File Name,APD 90 (ms),APD 50 (ms),APD 20 (ms),Ediast (mV),dV/dt max y (V/s),Peak (mV),Condition 1,Condition 2,Condition 3,Condition 4,Folder
Cvie_216_APD1,6,234.5,3,18d03022,90.0887,65.5729,24.0583,-82.7139,268.738,51.2929,GP,CTRL,Tyr,4Hz,GP_CTRL_Tyr_4Hz
Cvie_216_APD2,6,74.85,2.9,18d12023,132.748,74.2336,19.945,-69.3904,192,50.9532,GP,CTRL,Tyr,4Hz,GP_CTRL_Tyr_4Hz
Cvie_216_APD2,7,92.5,3.3,18d12027,88.3046,59.2946,19.8334,-82.0486,205,46.1894,GP,CTRL,Tyr,4Hz,GP_CTRL_Tyr_4Hz
Cvie_216_APD2,14,81.8,3.9,18d12055,112.949,88.4021,37.5245,-79.2152,112,48.0204,GP,CTRL,Tyr,4Hz,GP_CTRL_Tyr_4Hz
Cvie_216_APD3,1,111.2,3.2,19307008_2,95.4912,68.1327,22.2969,-62.2527,74.3102,43.9046,GP,CTRL,Tyr,4Hz,GP_CTRL_Tyr_4Hz
Cvie_216_APD3,2,119.3,5.1,19307008,107.51,81.3101,30.3106,-82.8044,261.357,49.7142,GP,CTRL,Tyr,4Hz,GP_CTRL_Tyr_4Hz
Cvie_216_APD3,3,106.6,3.3,19307012,96.5649,81.559,35.5279,-74.2948,181.946,49.7996,GP,CTRL,Tyr,4Hz,GP_CTRL_Tyr_4Hz
Cvie_216_APD4,2,102,3.6,10314014,68.5139,43.7747,16.9464,-64.7313,147.705,48.172,GP,CTRL,Tyr,4Hz,GP_CTRL_Tyr_4Hz
Cvie_2518_APD1,2,123,2.9,17421003,201.8,178.45,87.08,-72.46,181.15,62.41,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_2518_APD1,15,159.9,2.16,17421040,99.5276,87.9325,52.9404,-78.5979,209.151,56.4718,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_2518_APD3,4,67.6,2.1,17502010,139.059,123.52,64.542,-67.3993,221.693,67.7999,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_2518_APD1,2,123,2.9,17421004,169.18,145.786,65,-76.1687,229,61,GP,CTRL,Tyr,1Hz,GP_CTRL_Tyr_1Hz
Cvie_2518_APD1,15,159.9,2.16,17421041,70.4555,59.9318,33.3324,-77.2361,240.861,54.5868,GP,CTRL,Tyr,1Hz,GP_CTRL_Tyr_1Hz
Cvie_2518_APD3,4,67.6,2.1,17502011,114.803,99.3708,50.5386,-66.7253,190.927,67.1895,GP,CTRL,Tyr,1Hz,GP_CTRL_Tyr_1Hz
Cvie_2518_APD1,2,123,2.9,17421005,147.713,123.072,50,-75.4968,172.664,60.258,GP,CTRL,Tyr,2Hz,GP_CTRL_Tyr_2Hz
Cvie_2518_APD1,15,159.9,2.16,17421042,54.3789,43.9584,21.8957,-76.1221,243.23,53.7496,GP,CTRL,Tyr,2Hz,GP_CTRL_Tyr_2Hz
Cvie_2518_APD3,4,67.6,2.1,17502012,89.0696,73.8628,35.0064,-65.5975,204.58,65.802,GP,CTRL,Tyr,2Hz,GP_CTRL_Tyr_2Hz
Cvie_2518_APD1,5,149,2.6,17421007,177.551,96.9231,36.857,-75.1548,178,59.2723,GP,CTRL,Tyr,4Hz,GP_CTRL_Tyr_4Hz
Cvie_2518_APD1,5,149,2.6,17421043,41.8043,31.5878,14.82,-75.2763,213.847,51.9959,GP,CTRL,Tyr,4Hz,GP_CTRL_Tyr_4Hz
Cvie_2518_APD3,5,149,2.6,17502013,57.8382,43.8129,18.681,-64.9427,187.917,63.2355,GP,CTRL,Tyr,4Hz,GP_CTRL_Tyr_4Hz
