"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","variable","value"
"14121027","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APD 20 (ms)",4.59999999999999
"14204058","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APD 20 (ms)",6.3
"14204068","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APD 20 (ms)",3.1
"14205006","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APD 20 (ms)",2.7
"14205013","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APD 20 (ms)",2.6
"14206021","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APD 20 (ms)",1.6
"14731025","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APD 20 (ms)",1.5
"14731028","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APD 20 (ms)",1.2
"14116027","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APD 20 (ms)",2.3
"14116030","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APD 20 (ms)",2.7
"14121001","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APD 20 (ms)",2.89999999999999
"14121028","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APD 20 (ms)",4.89999999999999
"14204059","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APD 20 (ms)",5.7
"14204067","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APD 20 (ms)",3.3
"14205008","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APD 20 (ms)",2.5
"14205014","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APD 20 (ms)",2.5
"14206023","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APD 20 (ms)",1.5
"14731026","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APD 20 (ms)",1.5
"14116026","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APD 50 (ms)",9.1
"14116029","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APD 50 (ms)",10.3
"14121000","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APD 50 (ms)",15.1
"14121027","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APD 50 (ms)",19.3
