"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","variable","value"
"18215049","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",54.1156017955155
"18215063","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",57.130738581659
"18215068","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",38.7786873902087
"18d03012","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",58.0676282510376
"18d03016","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",54.0374767937692
"18d03020","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",54.6307385257797
"18d12021","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",54.4934094211476
"18d12025","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",49.3377696574726
"18d12053","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",53.518067602472
"19307005","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",50.5798315819619
"19307006","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",53.0657970845505
"19307010","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",52.956544152421
"19314012","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",55.2185032366368
"17421005","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",60.9161390568943
"17421042","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",54.2596447674851
"17502012","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",66.2915053879806
"17n30005","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",59.3261690571582
"17n30009","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",-44.0673807194117
"17n30014","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",57.0678683831717
"18215007","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",52.8985607526875
"18215023","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",48.2531749066675
"18215030","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",42.9119882638452
"18215034","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",48.9440928908607
"18215050","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",52.2973644501872
"18215065","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",54.2346203528632
"18215069","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",36.4453133146162
"18d03013","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",56.0351575024834
"18d03017","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",51.911011902489
"18d03021","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",54.5483410630004
"18d12022","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",52.2857677702405
"18d12026","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",48.2263194373172
"18d12054","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",52.3974621086745
"19307007","GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz","Peak (mV)",52.5329601585782
