"Time (ms)","Sweep 21. Voltage (mV)","Sweep 22. Voltage (mV)","Sweep 23. Voltage (mV)","Sweep 24. Voltage (mV)","Sweep 25. Voltage (mV)"
846.5,-87.8906208254195,-87.8906208254195,-86.9750935251547,-86.3647419916449,-85.754390458135
847,-87.8906208254195,-87.5854450586646,-86.9750935251547,-86.3647419916449,-85.754390458135
847.5,-87.5854450586646,-87.5854450586646,-86.9750935251547,-86.3647419916449,-86.0595662248899
848,-87.5854450586646,-87.5854450586646,-86.9750935251547,-86.3647419916449,-85.754390458135
848.5,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.3647419916449,-86.0595662248899
849,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.3647419916449,-85.754390458135
849.5,-87.5854450586646,-87.5854450586646,-86.9750935251547,-86.0595662248899,-85.754390458135
850,-87.5854450586646,-87.5854450586646,-86.9750935251547,-86.3647419916449,-85.754390458135
850.5,-87.5854450586646,-87.5854450586646,-86.9750935251547,-86.3647419916449,-86.0595662248899
851,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.3647419916449,-85.754390458135
851.5,-87.5854450586646,-87.5854450586646,-86.9750935251547,-86.3647419916449,-85.754390458135
852,-87.8906208254195,-87.8906208254195,-86.9750935251547,-86.3647419916449,-85.754390458135
852.5,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
853,-87.5854450586646,-87.5854450586646,-86.9750935251547,-86.3647419916449,-85.754390458135
853.5,-87.5854450586646,-87.5854450586646,-86.9750935251547,-86.0595662248899,-85.754390458135
854,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.3647419916449,-86.0595662248899
854.5,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
855,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.4492146913801
855.5,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
856,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
856.5,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
857,-87.2802692919097,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
857.5,-87.2802692919097,-87.5854450586646,-86.9750935251547,-86.3647419916449,-85.754390458135
858,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.3647419916449,-86.0595662248899
858.5,-87.2802692919097,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
859,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
859.5,-87.2802692919097,-87.8906208254195,-86.6699177583998,-86.0595662248899,-85.754390458135
860,-87.2802692919097,-87.5854450586646,-86.9750935251547,-86.0595662248899,-86.0595662248899
860.5,-87.2802692919097,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
861,-87.2802692919097,-87.5854450586646,-86.6699177583998,-86.3647419916449,-85.754390458135
861.5,-87.5854450586646,-87.5854450586646,-86.9750935251547,-86.0595662248899,-85.754390458135
862,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
862.5,-87.2802692919097,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
863,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
863.5,-87.2802692919097,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
864,-87.5854450586646,-87.5854450586646,-86.9750935251547,-86.0595662248899,-85.754390458135
