"Sweep (n)","Ediast (mV)"
287,-60.4705767745489
288,-60.5224566536893
289,-60.5926470784087
290,-60.3210406523206
291,-60.7604937462159
292,-62.0696977551123
293,-61.0412554450935
294,-60.8550982317073
295,-61.2884478104096
296,-61.0748247786549
297,-59.6618610114777
298,-59.2132526447929
299,-59.8480182248639
300,-60.9252886564266
301,-60.0860553173905
302,-60.1928668332678
303,-61.032100172304
304,-60.7543902310229
305,-60.8734087772862
306,-61.0595659906724
307,-61.6638139947785
308,-61.1358599305848
309,-61.6790727827609
310,-61.5722612668836
311,-61.3189653863745
312,-61.618037630831
313,-61.1907915673217
314,-61.7431596922873
315,-62.0208696335684
316,-62.1063188462702
317,-61.8499712081646
318,-61.5539507213046
319,-61.618037630831
320,-62.0452836943403
321,-61.0565142330759
322,-61.4868120541817
323,-61.6760210251644
324,-61.605830600445
325,-60.7940630797774
326,-61.2060503553042
327,-60.6231646543736
328,-61.8469194505682
329,-61.2243609008832
330,-60.5071978657068
331,-60.6201128967771
332,-61.4623979934098
333,-61.9750932696209
334,-61.4318804174448
335,-62.0269731487614
336,-60.9252886564266
337,-61.2884478104096
338,-61.0504107178829
339,-60.7971148373739
340,-60.9771685355671
341,-61.3372759319535
342,-60.9283404140231
343,-60.9497027171986
344,-61.5142778725502
345,-61.6455034491995
346,-61.8469194505682
347,-60.9924273235495
348,-61.7004350859364
349,-61.5600542364976
350,-61.9018510873051
351,-61.5203813877432
352,-61.6577104795855
353,-61.1053423546199
354,-61.7553667226733
355,-61.2182573856902
356,-61.7309526619013
357,-61.328120659164
358,-61.8133501170067
359,-61.6668657523749
360,-62.6922563047973
361,-62.4389604242882
362,-61.025996657111
363,-60.070796529408
364,-60.4064898650225
365,-59.774776042548
366,-60.0158648926711
367,-59.6588092538812
368,-60.3515582282856
369,-60.5194048960928
370,-60.1501422269169
371,-60.4766802897419
372,-60.8215288981458
373,-60.9588579899881
374,-60.2813678035662
375,-60.4919390777244
376,-60.4858355625314
377,-60.9130816260407
378,-60.4675250169524
379,-60.6689410183211
380,-60.8825640500757
381,-60.7543902310229
382,-60.5682330176367
383,-60.9649615051811
384,-60.3698687738646
385,-61.0168413843215
386,-60.7208208974615
387,-61.3311724167605
388,-60.5224566536893
389,-61.025996657111
390,-60.9405474444091
391,-61.2182573856902
392,-61.4562944782168
393,-61.0626177482689
394,-60.5560259872507
395,-60.7727007766019
396,-60.9161333836372
397,-60.995479081146
398,-60.7421832006369
399,-60.3393511978996
400,-60.9252886564266
401,-60.9069781108477
402,-60.9710650203741
403,-61.0504107178829
404,-60.7727007766019
405,-60.8489947165143
406,-60.7727007766019
407,-61.3067583559885
408,-61.5661577516906
409,-61.4715532661993
410,-61.3311724167605
411,-60.3393511978996
412,-61.1755327793392
413,-60.4644732593559
414,-61.0534624754794
415,-60.9527544747951
416,-61.1297564153918
417,-61.7065386011294
418,-61.9750932696209
419,-61.6638139947785
420,-61.5661577516906
421,-61.2335161736727
422,-61.7156938739189
423,-61.315913628778
424,-61.63634817641
425,-60.8673052620932
426,-60.1287799237414
427,-60.2233844092328
428,-59.6374469507058
429,-58.5510212463535
430,-58.9080768851434
431,-59.0637165225647
432,-59.8663287704429
433,-60.9161333836372
434,-61.3616899927254
435,-61.1389116881813
436,-61.7309526619013
437,-61.7156938739189
438,-60.9710650203741
439,-61.926265148077
440,-61.7584184802698
441,-61.9232133904805
442,-62.3870805451478
443,-62.0178178759719
444,-61.4959673269712
445,-61.4105181142694
446,-61.9720415120244
447,-61.2213091432867
448,-61.4318804174448
449,-61.4135698718659
450,-61.7065386011294
451,-61.5447954485151
452,-61.4410356902343
453,-62.4298051514987
454,-61.8804887841296
455,-61.9537309664455
456,-62.0300249063579
457,-62.4694780002531
458,-62.3046830900424
459,-61.8438676929717
460,-65.8019972956257
461,-60.6872515639
462,-61.2152056280937
463,-61.6516069643925
464,-62.2192338773405
465,-61.3769487807079
466,-61.6912798131469
467,-62.0452836943403
468,-61.9232133904805
469,-61.8102983594102
470,-62.1398881798317
471,-62.0147661183754
472,-61.9415239360595
473,-62.0147661183754
474,-61.9750932696209
475,-61.7584184802698
476,-62.0452836943403
477,-62.2985795748494
478,-61.9842485424104
479,-61.5081743573572
480,-62.0056108455859
481,-61.956782724042
482,-61.8133501170067
483,-61.8102983594102
484,-61.9995073303929
485,-61.8835405417261
486,-62.4023393331302
487,-61.9110063600945
488,-61.8499712081646
489,-61.8804887841296
490,-62.0330766639543
491,-62.4450639394812
492,-62.3809770299548
493,-62.5335649097795
494,-61.7675737530593
495,-62.0361284215508
496,-62.3290971508144
497,-61.7126421163224
498,-61.938472178463
499,-62.4816850306391
500,-61.7950395714277
501,-61.4746050237958
502,-62.4389604242882
503,-62.2436479381125
504,-62.0300249063579
505,-62.5579789705515
506,-62.0574907247263
507,-62.6434281832533
508,-62.7868607902886
509,-63.0187943676222
510,-63.0248978828152
511,-62.4999955762181
512,-62.4420121818847
513,-62.9394486701134
514,-62.7197221231657
515,-63.0615189739732
516,-62.8845170333765
517,-62.8784135181835
518,-62.8234818814466
519,-62.9821732764643
520,-62.4511674546742
521,-62.6403764256569
522,-62.4847367882356
523,-63.4887650374825
524,-62.6769975168148
525,-63.6779740084652
526,-63.3880570367981
527,-64.1204788599569
528,-63.5009720678685
529,-62.8539994574115
530,-62.7471879415342
531,-62.3809770299548
532,-62.8601029726045
533,-62.7044633351832
534,-63.2110550962014
535,-62.6617387288323
536,-63.0493119435872
537,-62.8021195782711
538,-62.7075150927797
539,-63.2842972785173
540,-63.1103470955171
541,-63.0615189739732
542,-63.3850052792016
543,-62.9974320644468
544,-63.4307816431491
545,-63.2537797025524
546,-63.8458206762724
547,-64.06554722322
548,-64.1052200719745
549,-64.1693069815009
550,-64.4073440740275
551,-64.2211868606413
552,-64.3218948613256
553,-64.0930130415885
554,-64.4653274683609
555,-64.706416318484
556,-63.9160111009918
557,-64.0624954656235
558,-64.0045120712901
559,-64.6392776513611
560,-64.3707229828695
561,-64.3890335284485
562,-64.3432571645011
563,-64.3249466189221
564,-64.8529006831157
565,-64.6087600753961
566,-64.7521926824314
567,-65.01464383573
568,-65.0543166844844
569,-64.9383498958176
570,-64.8284866223438
571,-64.8467971679228
572,-65.3503371713444
573,-65.0695754724669
574,-64.9414016534141
575,-65.7531691740818
576,-65.6585646885904
577,-65.3442336561514
578,-65.4571486872218
579,-65.4754592328007
580,-65.2069045643092
581,-65.4785109903972
582,-65.2709914738356
583,-64.9261428654316
584,-65.5670119606956
585,-65.3778029897129
586,-65.1519729275723
587,-65.3472854137479
588,-65.9973097818014
589,-65.7226515981168
590,-65.4937697783797
591,-65.7958937804327
592,-65.2282668674846
593,-65.618891839836
594,-65.316767837783
595,-65.1977492915197
596,-65.0970412908353
597,-65.6799269917659
598,-64.6392776513611
599,-64.8498489255193
600,-65.1123000788178
601,-65.0939895332389
602,-65.2252151098881
603,-64.7674514704139
604,-64.9658157141861
605,-64.9352981382211
606,-65.5639602030991
607,-65.3808547473094
608,-65.6280471126255
609,-65.4418898992393
610,-64.7033645608875
611,-64.7766067432034
612,-65.0604201996774
613,-64.8101760767648
614,-65.0604201996774
615,-64.5446731658697
616,-64.5111038323083
617,-65.3259231105725
618,-64.669795227326
619,-64.6575881969401
620,-64.8406936527298
621,-64.7705032280104
622,-65.2709914738356
623,-65.2221633522916
624,-64.7369338944489
625,-65.7745314772572
626,-64.8956252894667
627,-65.2069045643092
628,-64.9566604413966
629,-64.9627639565896
630,-65.3747512321164
631,-64.6606399545365
632,-65.5029250511692
633,-65.4785109903972
634,-66.0522414185383
635,-66.0797072369067
636,-65.8294631139942
637,-66.0491896609418
638,-66.0797072369067
639,-65.9240675994855
640,-66.1376906312401
641,-66.1804152375911
642,-66.0003615393979
643,-65.7257033557133
644,-66.1773634799946
645,-66.1193800856612
646,-66.0491896609418
647,-66.0980177824857
648,-65.8660842051521
649,-65.0848342604494
650,-66.3238478446263
651,-65.3076125649935
652,-65.2282668674846
653,-66.0400343881523
