"File Name","Folder","Condition 1","Condition 2","Condition 3","variable","value"
"CelIM 07_12_21_0000","07_12_21","07","12","21","APD 20 (ms)",65.7677419354844
"CelIN 07_12_21_0000","07_12_21","07","12","21","APD 20 (ms)",39.3088785046725
"CelIO 07_12_21_0000","07_12_21","07","12","21","APD 20 (ms)",68.4695067264575
"CelIP 07_12_21_0000","07_12_21","07","12","21","APD 20 (ms)",23.7718390804596
"CelIN 16_12_21_0000","16_12_21","16","12","21","APD 20 (ms)",20.2516795865627
"2021_08_14_0000_C2","2021-08-14","2021-08-14",NA,NA,"APD 20 (ms)",46.3196202531645
"2021_08_14_0000_C3","2021-08-14","2021-08-14",NA,NA,"APD 20 (ms)",49.9528571428572
"2021_08_14_0000_C4","2021-08-14","2021-08-14",NA,NA,"APD 20 (ms)",65.1506734006735
"C3 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"APD 20 (ms)",30.4976377952753
"C4 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"APD 20 (ms)",52.6361635220124
"C5 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"APD 20 (ms)",65.2543209876543
"C6 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"APD 20 (ms)",80.5545197740113
"C6 2021_10_26_0006","2021-10-26","2021-10-26",NA,NA,"APD 20 (ms)",52.3227758007118
"C7 2021_10_26_0008","2021-10-26","2021-10-26",NA,NA,"APD 20 (ms)",112.739252336448
"CellA_27_10_21_0000","27_10_21","27","10","21","APD 20 (ms)",36.3282433983924
"CellB_27_10_21_0000","27_10_21","27","10","21","APD 20 (ms)",8.35796812748992
"CellD_27_10_21_0000","27_10_21","27","10","21","APD 20 (ms)",52.7624153498869
"CellE_27_10_21_0000","27_10_21","27","10","21","APD 20 (ms)",35.9662946428567
"CelIJ_07_12_21_0000","07_12_21","07","12","21","APD 50 (ms)",78.8999999999999
"CelIL  07_12_21_0000","07_12_21","07","12","21","APD 50 (ms)",156.064957264956
"CelIM 07_12_21_0000","07_12_21","07","12","21","APD 50 (ms)",111.670967741935
"CelIN 07_12_21_0000","07_12_21","07","12","21","APD 50 (ms)",75.6934579439249
"CelIO 07_12_21_0000","07_12_21","07","12","21","APD 50 (ms)",118.078699551569
"CelIP 07_12_21_0000","07_12_21","07","12","21","APD 50 (ms)",45.8924137931034
"CelIN 16_12_21_0000","16_12_21","16","12","21","APD 50 (ms)",38.7772609819119
"2021_08_14_0000_C2","2021-08-14","2021-08-14",NA,NA,"APD 50 (ms)",84.7696202531643
"2021_08_14_0000_C3","2021-08-14","2021-08-14",NA,NA,"APD 50 (ms)",84.9192063492063
"2021_08_14_0000_C4","2021-08-14","2021-08-14",NA,NA,"APD 50 (ms)",119.69074074074
"C3 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"APD 50 (ms)",60.5303149606298
"C4 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"APD 50 (ms)",88.3933962264148
"C5 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"APD 50 (ms)",110.848148148148
"C6 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"APD 50 (ms)",129.619491525424
"C6 2021_10_26_0006","2021-10-26","2021-10-26",NA,NA,"APD 50 (ms)",89.9104982206402
"C7 2021_10_26_0008","2021-10-26","2021-10-26",NA,NA,"APD 50 (ms)",184.598598130841
"CellA_27_10_21_0000","27_10_21","27","10","21","APD 50 (ms)",68.4158438576348
"CellB_27_10_21_0000","27_10_21","27","10","21","APD 50 (ms)",14.6661354581668
