"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","Condition 5","variable","value"
"C1 2019_05_15_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",119.79
"C1 2019_06_06_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",175.69
"C1 2019_06_14_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",115.48
"C1 2019_07_03_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",141.23
"C2 2019_05_16_0001 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",139.26
"C2 2019_06_03_0001 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",171.98
"C3 2019_05_31_0003 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",141.129999999999
"C3 2019_06_03_0002 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",152.88
"C3 2019_06_14_0002 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",103.35
"C6 2019_05_27_0005 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","RR (ms)",144.29
"C1 2019_04_23_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",238.410000000001
"C1 2019_04_30_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",277.04
"C1 2019_05_15_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",416.75
"C1 2019_06_06_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",269.82
"C1 2019_06_14_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",363.44
"C1 2019_07_03_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",179.98
"C2 2019_05_16_0001 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",202.76
"C2 2019_06_03_0001 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",442.12
"C3 2019_05_31_0003 Tyrode","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",287.73
"C3 2019_06_03_0002 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",223.37
"C3 2019_06_14_0002 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",281.02
"C6 2019_05_27_0005 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","RR (ms)",238.1
"C1 2019_04_23_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Frequency (Hz)",8.25150589982676
"C1 2019_04_30_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Frequency (Hz)",6.53338560041814
"C1 2019_05_15_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Frequency (Hz)",8.34794223223977
"C1 2019_06_06_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Frequency (Hz)",5.6918435881382
"C1 2019_06_14_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Frequency (Hz)",8.65950813993764
